iter	Passed	Remaining
0	60	60822
1	64	32007
2	67	22467
3	71	17804
4	75	15038
5	78	13061
6	82	11649
7	86	10685
8	89	9908
9	93	9220
10	96	8699
11	99	8204
12	103	7841
13	107	7598
14	111	7293
15	115	7072
16	118	6855
17	122	6678
18	125	6477
19	128	6291
20	131	6139
21	135	6004
22	138	5894
23	141	5768
24	144	5652
25	147	5542
26	151	5477
27	157	5457
28	161	5421
29	166	5386
30	170	5329
31	174	5277
32	177	5201
33	180	5125
34	184	5079
35	188	5043
36	191	4996
37	194	4927
38	197	4870
39	201	4827
40	205	4808
41	208	4751
42	211	4715
43	214	4667
44	218	4645
45	222	4614
46	225	4572
47	228	4540
48	232	4516
49	236	4494
50	239	4463
51	243	4435
52	246	4405
53	250	4390
54	254	4369
55	257	4334
56	260	4314
57	263	4283
58	267	4267
59	270	4243
60	273	4212
61	276	4188
62	280	4168
63	283	4152
64	287	4136
65	290	4110
66	293	4090
67	297	4071
68	301	4063
69	304	4043
70	307	4019
71	310	3999
72	313	3984
73	316	3965
74	320	3950
75	323	3927
76	326	3913
77	329	3897
78	332	3879
79	336	3870
80	340	3862
81	343	3844
82	346	3832
83	350	3818
84	353	3803
85	356	3785
86	359	3776
87	363	3763
88	366	3754
89	369	3738
90	372	3722
91	376	3711
92	379	3696
93	382	3681
94	385	3670
95	388	3658
96	391	3646
97	394	3634
98	397	3621
99	400	3607
100	403	3593
101	406	3578
102	409	3566
103	412	3552
104	415	3544
105	418	3531
106	421	3520
107	424	3507
108	427	3493
109	431	3487
110	433	3474
111	436	3462
112	439	3452
113	443	3443
114	446	3435
115	449	3425
116	452	3412
117	456	3408
118	459	3399
119	462	3391
120	466	3385
121	469	3376
122	472	3366
123	475	3357
124	478	3350
125	481	3341
126	484	3332
127	487	3323
128	490	3314
129	494	3307
130	497	3301
131	501	3294
132	503	3283
133	506	3275
134	510	3268
135	513	3263
136	516	3254
137	519	3246
138	522	3239
139	525	3229
140	529	3223
141	532	3217
142	535	3211
143	538	3204
144	541	3195
145	545	3191
146	549	3189
147	552	3181
148	555	3173
149	558	3167
150	562	3164
151	565	3156
152	568	3147
153	572	3142
154	575	3135
155	579	3135
156	583	3134
157	586	3125
158	589	3118
159	593	3113
160	596	3106
161	600	3104
162	603	3099
163	606	3092
164	610	3088
165	614	3084
166	616	3077
167	619	3070
168	623	3064
169	626	3058
170	630	3056
171	633	3049
172	636	3042
173	639	3037
174	643	3031
175	646	3027
176	649	3019
177	652	3013
178	655	3007
179	658	3000
180	662	2998
181	665	2992
182	668	2985
183	671	2980
184	675	2975
185	679	2972
186	682	2965
187	684	2958
188	688	2953
189	691	2949
190	695	2946
191	698	2939
192	701	2933
193	704	2926
194	707	2921
195	711	2918
196	714	2912
197	717	2906
198	720	2902
199	724	2897
200	728	2895
201	731	2889
202	734	2883
203	738	2882
204	742	2878
205	745	2875
206	748	2869
207	752	2863
208	754	2857
209	758	2852
210	761	2849
211	764	2843
212	767	2836
213	770	2831
214	774	2826
215	777	2822
216	780	2815
217	783	2810
218	786	2804
219	789	2799
220	793	2796
221	796	2790
222	798	2783
223	801	2777
224	804	2771
225	808	2768
226	811	2764
227	814	2757
228	817	2753
229	820	2748
230	824	2745
231	828	2741
232	830	2734
233	833	2729
234	837	2725
235	841	2723
236	844	2718
237	847	2712
238	849	2705
239	852	2700
240	856	2696
241	859	2693
242	862	2687
243	865	2681
244	869	2678
245	872	2675
246	876	2671
247	879	2665
248	882	2660
249	884	2654
250	888	2650
251	892	2648
252	895	2642
253	897	2637
254	900	2632
255	904	2629
256	908	2626
257	911	2621
258	914	2615
259	917	2610
260	920	2606
261	924	2604
262	927	2599
263	930	2593
264	933	2588
265	936	2585
266	940	2582
267	943	2576
268	946	2570
269	949	2565
270	952	2560
271	955	2557
272	958	2553
273	961	2548
274	964	2542
275	967	2537
276	970	2533
277	974	2530
278	977	2525
279	980	2520
280	983	2517
281	987	2514
282	990	2510
283	993	2505
284	996	2501
285	1000	2497
286	1003	2493
287	1007	2490
288	1010	2485
289	1013	2480
290	1016	2475
291	1019	2471
292	1023	2469
293	1026	2463
294	1029	2459
295	1033	2458
296	1037	2456
297	1041	2452
298	1044	2448
299	1047	2443
300	1050	2438
301	1054	2436
302	1057	2431
303	1060	2427
304	1063	2423
305	1067	2420
306	1071	2418
307	1074	2414
308	1077	2409
309	1080	2405
310	1084	2403
311	1088	2399
312	1091	2394
313	1093	2389
314	1096	2384
315	1099	2380
316	1103	2378
317	1106	2373
318	1109	2368
319	1112	2363
320	1115	2359
321	1118	2355
322	1122	2352
323	1125	2347
324	1129	2344
325	1131	2340
326	1135	2337
327	1139	2333
328	1141	2328
329	1144	2324
330	1148	2320
331	1151	2317
332	1155	2314
333	1158	2309
334	1161	2305
335	1164	2301
336	1168	2298
